paper,transmission electron microscopy,stacking faults,scanning transmission electron microscopy,crystal defects,threading dislocations,gan,defect density,epitaxial growth,dislocation density,structural defects,cathodoluminescence,atomic-resolution imaging,misfit dislocations,2d materials,electron energy loss spectroscopy,point defects,heteroepitaxy,defect characterization,dislocations,aberration-corrected stem,gaas on si,molecular beam epitaxy,extended defects,thermal annealing,semiconductor defects,dislocation loops,planar defects,burgers vector,semiconductor heterostructures,nanostructures,tem analysis,electron probe,electronic structure,structure-property relationship,transition metal dichalcogenides,electron beam induced current,inversion domain boundaries,multicrystalline silicon,in situ tem,inversion domains,electron microscopy,electron-beam-induced current,czochralski silicon,gaas,electron energy-loss spectroscopy,metalorganic vapor phase epitaxy,transmission electron microscope,electrically active defects,nanocrystals,partial dislocations,high-resolution electron microscopy,energy dispersive x-ray spectroscopy,p-n junction,semiconductor devices,vacancy clusters,grain boundaries,epilayer,crystal structure,electron optics,atomic structure,electron diffraction,stem,silicon wafer,defect formation,dislocation tangles,photoluminescence,electrical activity,high-resolution transmission electron microscopy,quantum well,defect localization,cross-sectional tem,impurity atoms,diffusion length,chemical analysis,gaas epilayer,carrier lifetime,defect formation mechanism,high-angle annular dark-field,spatial resolution,structural analysis
"Probing Functional Structures, Defects, and Interfaces of 2D Transition Metal Dichalcogenides by Electron Microscopy","In this review, the primary focus lies in exploring intrinsic and artificial structures in TMDs and their heterostructures, along with their corresponding properties, through cutting-edge aberration-corrected scanning transmission electron microscopy (STEM) and electron energy loss spectroscopy (EELS).",,"In this review, the primary focus lies in exploring intrinsic and artificial structures in TMDs and their heterostructures, along with their corresponding properties, through cutting-edge aberration-corrected scanning transmission electron microscopy (STEM) and electron energy loss spectroscopy (EELS).",,,,,,,,,,,"It is anticipated that the up-to-date overview provided, along with a glimpse into the future development of STEM-based techniques, will make a substantial contribution to advancing research on 2D materials.","In this review, the primary focus lies in exploring intrinsic and artificial structures in TMDs and their heterostructures, along with their corresponding properties, through cutting-edge aberration-corrected scanning transmission electron microscopy (STEM) and electron energy loss spectroscopy (EELS).",,,,,,,,,,,,,,,,,,,,"2D transition metal dichalcogenides (TMDs) exhibit remarkable properties that are strongly influenced by their atomic structures, as well as by various types of defects and interfaces that can be precisely engineered and controlled.",,,,,,"By providing a comprehensive approach to understand the structure–property–functionality relationship in materials at the atomic scale, electron microscopy, and spectroscopy techniques have emerged as invaluable tools for studying both the static characteristics and dynamic evolutions of 2D TMDs. | In this review, the primary focus lies in exploring intrinsic and artificial structures in TMDs and their heterostructures, along with their corresponding properties, through cutting-edge aberration-corrected scanning transmission electron microscopy (STEM) and electron energy loss spectroscopy (EELS).",,,,,,,,,,,,,,,,,,,"2D transition metal dichalcogenides (TMDs) exhibit remarkable properties that are strongly influenced by their atomic structures, as well as by various types of defects and interfaces that can be precisely engineered and controlled.",,"In this review, the primary focus lies in exploring intrinsic and artificial structures in TMDs and their heterostructures, along with their corresponding properties, through cutting-edge aberration-corrected scanning transmission electron microscopy (STEM) and electron energy loss spectroscopy (EELS). | It is anticipated that the up-to-date overview provided, along with a glimpse into the future development of STEM-based techniques, will make a substantial contribution to advancing research on 2D materials.",,,,,,,,,,,,,,,,,,
Transmission Electron Microscopy Observation of Defects Induced by Fe Contamination on Si(100) Surface,"Transmission Electron Microscopy Observation of Defects Induced by Fe Contamination on Si(100) Surface, Sadamitsu, Shinsuke, Sasaki, Ayako, Hourai, Masataka, Shigeo Sumita, Shigeo Sumita, Nobukatsu Fujino, Nobukatsu Fujino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Transmission Electron Microscopy Observation of Defects Induced by Fe Contamination on Si(100) Surface, Sadamitsu, Shinsuke, Sasaki, Ayako, Hourai, Masataka, Shigeo Sumita, Shigeo Sumita, Nobukatsu Fujino, Nobukatsu Fujino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmission electron microscopy study on defect reduction in GaAs on Si heteroepitaxial layers grown by metalorganic vapor phase epitaxy,Systematic transmission electron microscopy (TEM) investigations on defect configurations in heteroepitaxial GaAs on Si grown by metalorganic vapor phase epitaxy (MOVPE) are reported.,,,,,Systematic transmission electron microscopy (TEM) investigations on defect configurations in heteroepitaxial GaAs on Si grown by metalorganic vapor phase epitaxy (MOVPE) are reported.,The effect of TC annealing and the role of the (AlGa)As interlayer in combination with the TC-annealing process in the reduction of the defect density are discussed on the basis of the TEM observations.,,"By introducing a thin (AlGa)As layer between the low-temperature and the high-temperature GaAs layer, a significant reduction of the dislocation density in the upper GaAs layer is observed after thermal-cycle (TC) annealing.",,,,,,,,,,The characteristics of dislocations in both as-grown and TC-annealed wafers are analyzed.,,Systematic transmission electron microscopy (TEM) investigations on defect configurations in heteroepitaxial GaAs on Si grown by metalorganic vapor phase epitaxy (MOVPE) are reported.,,,,,,,,,,,,,,,,,,,,Systematic transmission electron microscopy (TEM) investigations on defect configurations in heteroepitaxial GaAs on Si grown by metalorganic vapor phase epitaxy (MOVPE) are reported.,,,"Systematic transmission electron microscopy (TEM) investigations on defect configurations in heteroepitaxial GaAs on Si grown by metalorganic vapor phase epitaxy (MOVPE) are reported. | The GaAs layers were deposited on Si by the conventional two-step growth mode. | By introducing a thin (AlGa)As layer between the low-temperature and the high-temperature GaAs layer, a significant reduction of the dislocation density in the upper GaAs layer is observed after thermal-cycle (TC) annealing.",,Systematic transmission electron microscopy (TEM) investigations on defect configurations in heteroepitaxial GaAs on Si grown by metalorganic vapor phase epitaxy (MOVPE) are reported.,,,,,,,,,,,,,,,,Systematic transmission electron microscopy (TEM) investigations on defect configurations in heteroepitaxial GaAs on Si grown by metalorganic vapor phase epitaxy (MOVPE) are reported.,,,,,,,,,,,,,,,,,,
Selective photoetching and transmission electron microscopy studies of defects in heteroepitaxial GaN,"Transmission electron microscopy (TEM) confirmed a one-to-one correspondence between the whiskers and straight threading dislocations, which are mainly of edge and mixed type.",,,,"Transmission electron microscopy (TEM) confirmed a one-to-one correspondence between the whiskers and straight threading dislocations, which are mainly of edge and mixed type.","Photoelectrochemical (PEC) etching has been used to study defects in heteroepitaxial GaN layers. | Based on the mechanism of PEC etching of GaN in aqueous KOH solutions, it is argued that inversion domain boundaries are electrically active defects.",,,,,,,,,,,,,"In Ga-polar layers PEC etching reveals only dislocations in the form of filamentary etch features (whiskers). | Transmission electron microscopy (TEM) confirmed a one-to-one correspondence between the whiskers and straight threading dislocations, which are mainly of edge and mixed type. | In N-polar layers, apart from dislocations, inversion domains (IDs) also give rise to the formation of more complex etch features that also have been confirmed by TEM.",,,,,,,,,,,,,,,,,,"Based on the mechanism of PEC etching of GaN in aqueous KOH solutions, it is argued that inversion domain boundaries are electrically active defects.",,,"In N-polar layers, apart from dislocations, inversion domains (IDs) also give rise to the formation of more complex etch features that also have been confirmed by TEM.","Transmission electron microscopy (TEM) confirmed a one-to-one correspondence between the whiskers and straight threading dislocations, which are mainly of edge and mixed type.",,,,,,,"Based on the mechanism of PEC etching of GaN in aqueous KOH solutions, it is argued that inversion domain boundaries are electrically active defects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transmission electron microscopy studies of defects in HgCdTe device structures grown by molecular beam epitaxy,Transmission electron microscopy (TEM) was used to evaluate the microstructure of molecular beam epitaxy (MBE) grown (211)B oriented HgCdTe films.,,,,"Under fully optimized growth conditions the substrate-epilayer interface is free of threading dislocations and twins, and a high degree of structural integrity is retained throughout the entire device structure. | TEM evaluation of voids, threading dislocations and Te-precipitates in HgCdTe films are also discussed.",,,,,,,,,,,,,,"Under fully optimized growth conditions the substrate-epilayer interface is free of threading dislocations and twins, and a high degree of structural integrity is retained throughout the entire device structure. | TEM evaluation of voids, threading dislocations and Te-precipitates in HgCdTe films are also discussed.",,,Transmission electron microscopy (TEM) was used to evaluate the microstructure of molecular beam epitaxy (MBE) grown (211)B oriented HgCdTe films.,,,,,,,,,TEM analysis of in-situ doped p-on-n and n-p-n device structures will be presented.,,,,,,,,,,Transmission electron microscopy (TEM) was used to evaluate the microstructure of molecular beam epitaxy (MBE) grown (211)B oriented HgCdTe films.,,,,,,,,,,,,,,,,"Under fully optimized growth conditions the substrate-epilayer interface is free of threading dislocations and twins, and a high degree of structural integrity is retained throughout the entire device structure.",,,,,,,,,,,,,,,,,,,,,,,
Surface Defects in Polished Silicon Studied by Cross-Sectional Transmission Electron Microscopy,,,,,,,,,"Syton polishing results in very smooth surfaces, with no signs of abrasive grooving or dislocation density.",,,,,,,,,,,,,,,,,Mild diamond polishing results in small-scale abrasive grooving and production of superficial dislocation loops of 1/2〈110〉111 type.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The cross-sectional TEM technique is applied to Si(100) surfaces, which are exposed to mild polishing with diamond paste in the 0.25- to 6-μm-size range as well as with the commercial polishing medium Syton HT 50.",,,,,,,,,
Distribution of polarized-cathodoluminescence around the structural defects in ZnSe/GaAs(001) studied by transmission electron microscopy,,,,,,The spatial distribution of the polarized cathodoluminescence (CL) emissions from thin ZnSe films grown by metalorganic vapor phase epitaxy method on GaAs(001) has been examined by a low-temperature polarized CL measurement system combined with a transmission electron microscope.,,,,,The spatial distribution of the polarized cathodoluminescence (CL) emissions from thin ZnSe films grown by metalorganic vapor phase epitaxy method on GaAs(001) has been examined by a low-temperature polarized CL measurement system combined with a transmission electron microscope.,,,,,,,,It is found that the Y0 and Y1 emissions come from the regions near dislocation tangles and near individual dislocations.,,,,,,,,,,,,,,,,,,,,,,,,,The spatial distribution of the polarized cathodoluminescence (CL) emissions from thin ZnSe films grown by metalorganic vapor phase epitaxy method on GaAs(001) has been examined by a low-temperature polarized CL measurement system combined with a transmission electron microscope.,,The spatial distribution of the polarized cathodoluminescence (CL) emissions from thin ZnSe films grown by metalorganic vapor phase epitaxy method on GaAs(001) has been examined by a low-temperature polarized CL measurement system combined with a transmission electron microscope.,The spatial distribution of the polarized cathodoluminescence (CL) emissions from thin ZnSe films grown by metalorganic vapor phase epitaxy method on GaAs(001) has been examined by a low-temperature polarized CL measurement system combined with a transmission electron microscope.,,,,,,,,,,,,,,,The spatial distribution of the polarized cathodoluminescence (CL) emissions from thin ZnSe films grown by metalorganic vapor phase epitaxy method on GaAs(001) has been examined by a low-temperature polarized CL measurement system combined with a transmission electron microscope.,,,It is found that the Y0 and Y1 emissions come from the regions near dislocation tangles and near individual dislocations.,,,,,,,,,,,,,,,
Cathodoluminescence and Transmission Electron Microscopy Study of the Influence of Crystal Defects on Optical Transitions in GaN,Defect related states and excitonic transitions in epitaxial GaN have been studied by combining cathodoluminescence and transmission electron microscopy.,An excitonic transition at 3.41 eV close to the near band edge line on differently grown epitaxial GaN has been correlated to stacking faults.,,,The consequences of our model with respect to non radiative transitions at threading dislocations are also presented.,"Defect related states and excitonic transitions in epitaxial GaN have been studied by combining cathodoluminescence and transmission electron microscopy. | A series of deep levels with energies at about 2.4, 2.6 and 2.8 eV has been found by low temperature cathodoluminescence on free-standing 150 μm thick epitaxial GaN. | An excitonic transition at 3.41 eV close to the near band edge line on differently grown epitaxial GaN has been correlated to stacking faults.",,,,,"Defect related states and excitonic transitions in epitaxial GaN have been studied by combining cathodoluminescence and transmission electron microscopy. | A series of deep levels with energies at about 2.4, 2.6 and 2.8 eV has been found by low temperature cathodoluminescence on free-standing 150 μm thick epitaxial GaN.",,,,,,,,The consequences of our model with respect to non radiative transitions at threading dislocations are also presented.,,,,,,,,,,,,,,,,,,,,,,Defect related states and excitonic transitions in epitaxial GaN have been studied by combining cathodoluminescence and transmission electron microscopy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,This line can be explained by a model based on the concept of excitons bound to SFs that form a quantum well of cubic material in the wurtzite lattice of the layer.,,,,,,,,,,,
Analysis of V defects in GaN-based light emitting diodes by scanning transmission electron microscopy and electron beam induced current,"Scanning transmission electron microscopy is capable of directly observing these defects, while electron beam induced current (EBIC) techniques can be used to probe electronic behavior of semiconductor defects.",,"Scanning transmission electron microscopy is capable of directly observing these defects, while electron beam induced current (EBIC) techniques can be used to probe electronic behavior of semiconductor defects.",,,"In the fabrication of InGaN∕GaN multiple quantum well light emitting diodes so-called V defects are common, but little is known about their electrical activity.",,,,,,,,,,,,,,,,,,,"Scanning transmission electron microscopy is capable of directly observing these defects, while electron beam induced current (EBIC) techniques can be used to probe electronic behavior of semiconductor defects.",,,,,,,,,,,"Scanning transmission electron microscopy is capable of directly observing these defects, while electron beam induced current (EBIC) techniques can be used to probe electronic behavior of semiconductor defects.",,,,,"Scanning transmission electron microscopy is capable of directly observing these defects, while electron beam induced current (EBIC) techniques can be used to probe electronic behavior of semiconductor defects.",,,,,,,,,,,,These techniques were combined to obtain localized measurements and our results indicate that V defects suppress the EBIC signal near the core of the defect and produce a displacement in the p-n junction location.,,,,,,,,,,,,,,"In the fabrication of InGaN∕GaN multiple quantum well light emitting diodes so-called V defects are common, but little is known about their electrical activity.",,"In the fabrication of InGaN∕GaN multiple quantum well light emitting diodes so-called V defects are common, but little is known about their electrical activity.",,,,"Furthermore, the EBIC profile suggests that minority carrier diffusion lengths are longer inside the defect.",,,,,,,
Transmission Electron Microscopy-Based Analysis of Electrically Conductive Surface Defects in Large Area GaSb Homoepitaxial Diodes Grown Using Molecular Beam Epitaxy,The diodes in this study are electrically characterized and the defect formation mechanism is investigated using cross-section transmission electron microscopy and electron dispersive spectroscopy.,,,,,,,,,,,,,,,,,,,,,We investigate a mechanism causing shorting of large area GaSb diodes grown on GaSb substrates using molecular beam epitaxy (MBE).,,,,,,,,,,,,,,,,,,,The diodes in this study are electrically characterized and the defect formation mechanism is investigated using cross-section transmission electron microscopy and electron dispersive spectroscopy.,,,,,,,,,,,,,,,,,"The gallium droplets cause defects in the crystal structure, and, as the epitaxy continues, the gallium is incorporated into the surrounding material.",,,,,,The diodes in this study are electrically characterized and the defect formation mechanism is investigated using cross-section transmission electron microscopy and electron dispersive spectroscopy.,,,,,,,,,,,,,The diodes in this study are electrically characterized and the defect formation mechanism is investigated using cross-section transmission electron microscopy and electron dispersive spectroscopy.,,,
Chapter 6 - Atomic structure of defects in transitional metal dichalcogenides using transmission electron microscopy,"Here, we cover how transmission electron microscopy (TEM) can be used to provide atomic-resolution studies of defect structures in monolayer/bilayer TMDs.",,,,,,,,,,,,,"A brief overview is included on the pristine crystalline structures and properties of 2D materials, as well as the development of TEM.",,,,,,,,,,,,,,,,,,,,,"Two-dimensional (2D) transition metal dichalcogenides (TMDs), a burgeoning family of layered materials, have been offering researchers a fertile ground for harvesting novel properties and versatile applications.",,,,,,"Here, we cover how transmission electron microscopy (TEM) can be used to provide atomic-resolution studies of defect structures in monolayer/bilayer TMDs.",,,,,,,,,,,,,,,,,,,,,"The defects summarized in this review are mainly categorized into intrinsic and extrinsic ones, based on whether foreign atoms are incorporated into the pure TMD system.",,,,,,,,,,,,,,,,,,
A machine perspective of atomic defects in scanning transmission electron microscopy,"Enabled by the advances in aberration-corrected scanning transmission electron microscopy (STEM), atomic-resolution real space imaging of materials has allowed a direct structure-property investigation.",,"Enabled by the advances in aberration-corrected scanning transmission electron microscopy (STEM), atomic-resolution real space imaging of materials has allowed a direct structure-property investigation.",,,,,,,"Subsequently, we systematically review advanced data analysis methods that have demonstrated promising prospects in analyzing STEM data, particularly for identifying structural defects, with high throughput and veracity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enabled by the advances in aberration-corrected scanning transmission electron microscopy (STEM), atomic-resolution real space imaging of materials has allowed a direct structure-property investigation.",,,,,,,,,,,,,,,,,,,A unified framework for atomic structure identification is also summarized.,,"Enabled by the advances in aberration-corrected scanning transmission electron microscopy (STEM), atomic-resolution real space imaging of materials has allowed a direct structure-property investigation. | New ideas in the field of computer vision and machine learning have provided more momentum to harness the wealth of big data and sophisticated information in STEM data analytics, which has transformed STEM from a localized characterization technique to a macroscopic tool with intelligence. | Subsequently, we systematically review advanced data analysis methods that have demonstrated promising prospects in analyzing STEM data, particularly for identifying structural defects, with high throughput and veracity.",,,,,,,,,,,,,,,,,,
Crystal structure and defects visualization of Cu2ZnSnS4 nanoparticles employing transmission electron microscopy and electron diffraction,,"The material exhibited dislocations, along with lamellar twins and stacking faults characterized by local hexagonal structure on {112} planes.",,These studies provide key information on nanoscale crystal defects which may have important consequence on the performance of CZTS photovoltaic devices.,,,,,,,,,,,,,,,"The material exhibited dislocations, along with lamellar twins and stacking faults characterized by local hexagonal structure on {112} planes.",,,,,,,,,,,The nanostructures were investigated as-grown and after vacuum thermal treatment at 550°C.,,,,,,,,,,,,,,,,,,,"A detailed analysis of the structure of Cu2ZnSnS4 (CZTS) nanocrystals synthesized by hot-injection in the presence of oleylamine is provided employing high resolution TEM, selected area electron diffraction (SAED) and convergent beam electron diffraction (CBED).",,,,,,,,,,,,"A detailed analysis of the structure of Cu2ZnSnS4 (CZTS) nanocrystals synthesized by hot-injection in the presence of oleylamine is provided employing high resolution TEM, selected area electron diffraction (SAED) and convergent beam electron diffraction (CBED).",,,,,,,,,,,,,,,,,,,
Analysis of contacts and V-defects in GaN device structures by transmission electron microscopy,"A combination of different transmission electron microscopy (TEM) techniques has been employed, as they provide complementary information.",,,,,"This paper describes the microstructure of ohmic contacts to an AlGaN/ GaN heterostructure, of interest for high power transistors, and an analysis of V-defects in an InGaN/GaN multi-quantum well (MQW) light-emitting structure. | The MQW structures were capped with a p-type GaN layer, and TEM and ADF studies of the samples show a number of V-defects 100–200 nm apart along the MQW. | The defects contain GaN with no InGaN layers, suggesting the V-pits have been filled in by the capping layer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A combination of different transmission electron microscopy (TEM) techniques has been employed, as they provide complementary information. | These include bright field and dark field TEM, high-resolution electron microscopy, X-ray mapping, energy filtered TEM and high angle annular dark field.",,,,,,,,,,"These include bright field and dark field TEM, high-resolution electron microscopy, X-ray mapping, energy filtered TEM and high angle annular dark field.",,,,,,,,,,,,,,,,,,"This paper describes the microstructure of ohmic contacts to an AlGaN/ GaN heterostructure, of interest for high power transistors, and an analysis of V-defects in an InGaN/GaN multi-quantum well (MQW) light-emitting structure.",,,,,,,,,,,
Structural defects in GaN revealed by transmission electron microscopy,"Structural defects in GaN revealed by transmission electron microscopy, Liliental-Weber, Zuzanna",,,,,"Structural defects in GaN revealed by transmission electron microscopy, Liliental-Weber, Zuzanna",,,,"Structural defects in GaN revealed by transmission electron microscopy, Liliental-Weber, Zuzanna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Structural defects in GaN revealed by transmission electron microscopy, Liliental-Weber, Zuzanna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diffuse x-ray scattering and transmission electron microscopy study of defects in antimony-implanted silicon,"In this work, the formation of inactive antimony structures has been studied with grazing incidence diffuse x-ray scattering, and transmission electron microscopy, and the results are correlated to previous high-resolution x-ray diffraction data. | This value is consistent with the features observed in high-resolution and mass contrast transmission electron microscopy images.",,,,,,,,,,,,,,,,,,,,,,,"Upon subsequent thermal annealing, however, these metastable dopants deactivate towards the equilibrium solubility limit.",,,,,,,,,,,,,,,,,"In this work, the formation of inactive antimony structures has been studied with grazing incidence diffuse x-ray scattering, and transmission electron microscopy, and the results are correlated to previous high-resolution x-ray diffraction data. | This value is consistent with the features observed in high-resolution and mass contrast transmission electron microscopy images.",,"In addition, the sensitivity of the diffuse x-ray scattering technique has allowed us to detect the presence of small clusters of radius ∼2 Å in unprocessed Czochralski silicon wafers.",,,,,,,,,,,,,,,,,,,,"In addition, the sensitivity of the diffuse x-ray scattering technique has allowed us to detect the presence of small clusters of radius ∼2 Å in unprocessed Czochralski silicon wafers. | These defects are not observed in floating zone silicon wafers, and are tentatively attributed to thermal donors.",,,,,,,,,,,,,,,,,
Localization and preparation of recombination-active extended defects for transmission electron microscopy analysis,Recombination-active extended defects in semiconductors frequently occur at a low density which makes their structural and chemical analysis by transmission electron microscopy (TEM) techniques virtually impossible.,,,,,,,,,,,,,,,,,,,,,,Recombination-active extended defects in semiconductors frequently occur at a low density which makes their structural and chemical analysis by transmission electron microscopy (TEM) techniques virtually impossible.,,,,,,,,,,,,,Here an approach is described that uses in situ electron beam induced current (EBIC) in a focused ion beam machine to localize such defects for TEM lamella preparation.,,"As an example, a defect complex occurring in block-cast multicrystalline silicon with a density of less than 104 cm−3 has been prepared and analyzed by TEM.",,,Recombination-active extended defects in semiconductors frequently occur at a low density which makes their structural and chemical analysis by transmission electron microscopy (TEM) techniques virtually impossible.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recombination-active extended defects in semiconductors frequently occur at a low density which makes their structural and chemical analysis by transmission electron microscopy (TEM) techniques virtually impossible.,,,,,,
Analysis of crystal defects by scanning transmission electron microscopy (STEM) in a modern scanning electron microscope,"As of now, transmission electron microscopy (TEM) is the most frequently used technique to study the properties of single dislocations and stacking faults. | Based on the reciprocity theorem, scanning transmission electron microscopy (STEM) can also be applied for defect characterization, but has been less frequently used up to now.","Dislocations and stacking faults are important crystal defects, because they strongly influence material properties. | As of now, transmission electron microscopy (TEM) is the most frequently used technique to study the properties of single dislocations and stacking faults. | Specifically, the Burgers vector b of dislocations or displacement vector R of stacking faults can be determined on the basis of the g·b = n (g·R = n) criterion by setting up different two-beam diffraction conditions with an imaging vector g. | In this work, we demonstrate g·b = n (g·R = n) analyses of dislocations and stacking faults in GaN by STEM imaging in a scanning electron microscope.","Based on the reciprocity theorem, scanning transmission electron microscopy (STEM) can also be applied for defect characterization, but has been less frequently used up to now.","Dislocations and stacking faults are important crystal defects, because they strongly influence material properties.",,"In this work, we demonstrate g·b = n (g·R = n) analyses of dislocations and stacking faults in GaN by STEM imaging in a scanning electron microscope.",,,,,,,,,,,,"Based on the reciprocity theorem, scanning transmission electron microscopy (STEM) can also be applied for defect characterization, but has been less frequently used up to now.","Dislocations and stacking faults are important crystal defects, because they strongly influence material properties. | As of now, transmission electron microscopy (TEM) is the most frequently used technique to study the properties of single dislocations and stacking faults. | Specifically, the Burgers vector b of dislocations or displacement vector R of stacking faults can be determined on the basis of the g·b = n (g·R = n) criterion by setting up different two-beam diffraction conditions with an imaging vector g. | In this work, we demonstrate g·b = n (g·R = n) analyses of dislocations and stacking faults in GaN by STEM imaging in a scanning electron microscope.",,,,,,,,,"Specifically, the Burgers vector b of dislocations or displacement vector R of stacking faults can be determined on the basis of the g·b = n (g·R = n) criterion by setting up different two-beam diffraction conditions with an imaging vector g.",,,,,,,,,,,,,"As of now, transmission electron microscopy (TEM) is the most frequently used technique to study the properties of single dislocations and stacking faults. | Based on the reciprocity theorem, scanning transmission electron microscopy (STEM) can also be applied for defect characterization, but has been less frequently used up to now.",,,,,,,,,,,,,,,,,,,,,"Based on the reciprocity theorem, scanning transmission electron microscopy (STEM) can also be applied for defect characterization, but has been less frequently used up to now. | In this work, we demonstrate g·b = n (g·R = n) analyses of dislocations and stacking faults in GaN by STEM imaging in a scanning electron microscope. | The instrument is equipped with a STEM detector, double-tilt TEM specimen holder, and a charge-coupled-device camera for the acquisition of on-axis diffraction patterns.",,,,,,,,,,,,,,,,,,
Structural defects in cubic semiconductors characterized by aberration-corrected scanning transmission electron microscopy,"Besides a few selected examples from literature, we treat in particular crystal defects occurring in GaAs/Si, Ge/Si and β-SiC/Si structures which are studied by high-resolution annular dark-ﬁeld scanning transmission electron microscopy.",,"Besides a few selected examples from literature, we treat in particular crystal defects occurring in GaAs/Si, Ge/Si and β-SiC/Si structures which are studied by high-resolution annular dark-ﬁeld scanning transmission electron microscopy.","In particular, one- and two-dimensional crystal defects are being discussed which are due to the plastic relaxation of epitaxial strain caused by the misﬁt of crystal lattices. | Besides a few selected examples from literature, we treat in particular crystal defects occurring in GaAs/Si, Ge/Si and β-SiC/Si structures which are studied by high-resolution annular dark-ﬁeld scanning transmission electron microscopy.",,,,,,This article provides a concise review about structural defects which occur in semiconductor heterostructures on the basis of micro-patterned Si substrates.,,"The relevance of this article is twofold; ﬁrstly, it should provide a collection of data which are of help for the identiﬁcation and characterization of defects in cubic semiconductors by means of atomic-resolution imaging, and secondly, the experimental data shall provide a basis for advancing the understanding of device characteristics with the aid of theoretical modelling by considering the defective nature of strained semiconductor heterostructures.",,,,,,,,,,,,,,,,,"The development of new electro-optical devices and the realization of novel types of transistors require a profound understanding of the structural characteristics of new semiconductor heterostructures. | This article provides a concise review about structural defects which occur in semiconductor heterostructures on the basis of micro-patterned Si substrates. | The relevance of this article is twofold; ﬁrstly, it should provide a collection of data which are of help for the identiﬁcation and characterization of defects in cubic semiconductors by means of atomic-resolution imaging, and secondly, the experimental data shall provide a basis for advancing the understanding of device characteristics with the aid of theoretical modelling by considering the defective nature of strained semiconductor heterostructures.",,,,,,,,,,,,"Besides a few selected examples from literature, we treat in particular crystal defects occurring in GaAs/Si, Ge/Si and β-SiC/Si structures which are studied by high-resolution annular dark-ﬁeld scanning transmission electron microscopy.",,,"Besides a few selected examples from literature, we treat in particular crystal defects occurring in GaAs/Si, Ge/Si and β-SiC/Si structures which are studied by high-resolution annular dark-ﬁeld scanning transmission electron microscopy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
