paper,concept,relevance
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",cdte,1.0
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",thin film photovoltaic,0.95
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",cdsexte1-x,0.93
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",cst absorber,0.91
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",open circuit voltage,0.88
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",minority carrier lifetime,0.87
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",chlorine passivation,0.85
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",se defect passivation,0.84
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",as doping,0.83
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",cu doping,0.81
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",fill factor,0.8
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",window layer optimization,0.78
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",grain boundary recombination,0.77
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",interface recombination,0.75
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",band diagram engineering,0.74
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",film microstructure,0.72
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",module stability,0.7
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",photocurrent,0.68
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",device stack,0.65
"CdTe-based thin film photovoltaics: Recent advances, current challenges and future prospects",module efficiency,0.63
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",photovoltaic modules,1.0
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",crystalline silicon,0.95
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",failure modes,0.95
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",cigs,0.92
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",cadmium telluride,0.92
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",perovskite solar cells,0.9
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",degradation mechanisms,0.9
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",emerging pv technologies,0.88
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",long-term stability,0.85
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",operational lifetime,0.83
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",encapsulant,0.82
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",absorber layer,0.8
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",qualification tests,0.8
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",dye sensitised pv,0.78
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",organic photovoltaics,0.78
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",front electrode,0.75
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",rear electrode,0.75
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",interlayers,0.72
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",substrate,0.7
"Review of technology specific degradation in crystalline silicon, cadmium telluride, copper indium gallium selenide, dye sensitised, organic and perovskite solar cells in photovoltaic modules: Understanding how reliability improvements in mature technologies can enhance emerging technologies",technology readiness level,0.65
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,ideality diode factor,0.95
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,i-v curve,0.95
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,parasitic resistances,0.92
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,photovoltaic module,0.9
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,thin-film devices,0.88
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,single-crystalline silicon,0.85
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,multi-crystalline silicon,0.85
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,amorphous silicon,0.85
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,micro-crystalline silicon,0.83
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,a-si/µc-si tandem,0.82
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,cds/cdte tandem,0.82
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,cadmium telluride,0.8
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,copper indium selenide,0.8
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,cadmium selenide,0.78
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,cis,0.78
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,electrical parameters,0.75
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,thermal behavior,0.72
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,series resistance,0.7
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,shunt resistance,0.7
Influence of the temperature on the intrinsic parameters of thin-film photovoltaic modules,crystalline silicon,0.68
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,cdsete solar cells,1.0
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,cadmium selenide telluride,1.0
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,voltage deficit,0.95
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,external radiative efficiency,0.95
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,internal voltage ivoc,0.93
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,open-circuit voltage voc,0.93
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,back-contact selectivity,0.92
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,voltage loss analysis,0.92
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,photoluminescence,0.9
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,arsenic doping,0.88
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,carrier selectivity,0.88
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,aluminium-oxide passivation,0.87
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,passivating contacts,0.86
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,thermodynamic voltage limit,0.85
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,recombination losses,0.85
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,back contact,0.84
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,polycrystalline absorber,0.8
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,luminescent absorber,0.8
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,dopant concentration,0.78
Understanding what limits the voltage of polycrystalline CdSeTe solar cells,first solar,0.72
